      4475:	symbol=__vdso_clock_gettime;  lookup in file=linux-vdso.so.1 [0]
      4475:	symbol=__vdso_gettimeofday;  lookup in file=linux-vdso.so.1 [0]
      4475:	symbol=__vdso_time;  lookup in file=linux-vdso.so.1 [0]
      4475:	symbol=__vdso_getcpu;  lookup in file=linux-vdso.so.1 [0]
      4475:	symbol=__vdso_clock_getres;  lookup in file=linux-vdso.so.1 [0]
      4475:	
      4475:	relocation processing: /lib/x86_64-linux-gnu/libc.so.6
      4475:	symbol=_res;  lookup in file=build/test [0]
      4475:	symbol=_res;  lookup in file=/lib/x86_64-linux-gnu/libssl.so.3 [0]
      4475:	symbol=_res;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4475:	symbol=svc_max_pollfd;  lookup in file=build/test [0]
      4475:	symbol=svc_max_pollfd;  lookup in file=/lib/x86_64-linux-gnu/libssl.so.3 [0]
      4475:	symbol=svc_max_pollfd;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4475:	symbol=obstack_alloc_failed_handler;  lookup in file=build/test [0]
      4475:	symbol=obstack_alloc_failed_handler;  lookup in file=/lib/x86_64-linux-gnu/libssl.so.3 [0]
      4475:	symbol=obstack_alloc_failed_handler;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4475:	symbol=__ctype_toupper;  lookup in file=build/test [0]
      4475:	symbol=__ctype_toupper;  lookup in file=/lib/x86_64-linux-gnu/libssl.so.3 [0]
      4475:	symbol=__ctype_toupper;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4475:	symbol=loc1;  lookup in file=build/test [0]
      4475:	symbol=loc1;  lookup in file=/lib/x86_64-linux-gnu/libssl.so.3 [0]
      4475:	symbol=loc1;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4475:	symbol=_dl_argv;  lookup in file=build/test [0]
      4475:	symbol=_dl_argv;  lookup in file=/lib/x86_64-linux-gnu/libssl.so.3 [0]
      4475:	symbol=_dl_argv;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4475:	symbol=_dl_argv;  lookup in file=/lib/x86_64-linux-gnu/libcrypto.so.3 [0]
      4475:	symbol=_dl_argv;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
      4475:	symbol=__libc_single_threaded;  lookup in file=build/test [0]
      4475:	symbol=__libc_single_threaded;  lookup in file=/lib/x86_64-linux-gnu/libssl.so.3 [0]
      4475:	symbol=__libc_single_threaded;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4475:	symbol=free;  lookup in file=build/test [0]
      4475:	symbol=free;  lookup in file=/lib/x86_64-linux-gnu/libssl.so.3 [0]
      4475:	symbol=free;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4475:	symbol=re_syntax_options;  lookup in file=build/test [0]
      4475:	symbol=re_syntax_options;  lookup in file=/lib/x86_64-linux-gnu/libssl.so.3 [0]
      4475:	symbol=re_syntax_options;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4475:	symbol=rpc_createerr;  lookup in file=build/test [0]
      4475:	symbol=rpc_createerr;  lookup in file=/lib/x86_64-linux-gnu/libssl.so.3 [0]
      4475:	symbol=rpc_createerr;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4475:	symbol=stdout;  lookup in file=build/test [0]
      4475:	symbol=stdout;  lookup in file=/lib/x86_64-linux-gnu/libssl.so.3 [0]
      4475:	symbol=stdout;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4475:	symbol=__ctype32_toupper;  lookup in file=build/test [0]
      4475:	symbol=__ctype32_toupper;  lookup in file=/lib/x86_64-linux-gnu/libssl.so.3 [0]
      4475:	symbol=__ctype32_toupper;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4475:	symbol=opterr;  lookup in file=build/test [0]
      4475:	symbol=opterr;  lookup in file=/lib/x86_64-linux-gnu/libssl.so.3 [0]
      4475:	symbol=opterr;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4475:	symbol=getdate_err;  lookup in file=build/test [0]
      4475:	symbol=getdate_err;  lookup in file=/lib/x86_64-linux-gnu/libssl.so.3 [0]
      4475:	symbol=getdate_err;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4475:	symbol=__curbrk;  lookup in file=build/test [0]
      4475:	symbol=__curbrk;  lookup in file=/lib/x86_64-linux-gnu/libssl.so.3 [0]
      4475:	symbol=__curbrk;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4475:	symbol=loc2;  lookup in file=build/test [0]
      4475:	symbol=loc2;  lookup in file=/lib/x86_64-linux-gnu/libssl.so.3 [0]
      4475:	symbol=loc2;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4475:	symbol=program_invocation_name;  lookup in file=build/test [0]
      4475:	symbol=program_invocation_name;  lookup in file=/lib/x86_64-linux-gnu/libssl.so.3 [0]
      4475:	symbol=program_invocation_name;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4475:	symbol=__fpu_control;  lookup in file=build/test [0]
